Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Nikita Kucherov,30,TBL,RW,81,44,100,144,8,22
Nathan MacKinnon,28,COL,C,82,51,89,140,35,42
Connor McDavid,27,EDM,C,76,32,100,132,35,30
Artemi Panarin,32,NYR,LW,82,49,71,120,18,24
David Pastrňák,27,BOS,RW,82,47,63,110,21,47
Auston Matthews,26,TOR,C,81,69,38,107,31,20
Leon Draisaitl,28,EDM,C,81,41,65,106,26,76
Mikko Rantanen,27,COL,RW,80,42,62,104,19,50
J.T. Miller,30,VAN,C,81,37,66,103,32,58
William Nylander,27,TOR,C,82,40,58,98,1,24
Kirill Kaprizov,26,MIN,LW,75,46,50,96,11,36
Sidney Crosby,36,PIT,C,82,42,52,94,7,40
Filip Forsberg,29,NSH,C,82,48,46,94,16,43
Sam Reinhart,28,FLA,C,82,57,37,94,29,31
Quinn Hughes,24,VAN,D,82,17,75,92,38,38
Cale Makar,25,COL,D,77,21,69,90,15,16
Brayden Point,27,TBL,C,81,46,44,90,-16,14
Sebastian Aho,26,CAR,F,78,36,53,89,34,36
Elias Pettersson,25,VAN,C,82,34,55,89,20,12
Matthew Tkachuk,26,FLA,LW,80,26,62,88,19,88
Robert Thomas,24,STL,C,82,26,60,86,9,48
Roman Josi,33,NSH,D,82,23,62,85,12,45
Mitch Marner,26,TOR,RW,69,26,59,85,21,18
Jesper Bratt,25,NJD,W,82,27,56,83,-6,12
Evan Bouchard,24,EDM,D,81,18,64,82,34,32
Steven Stamkos,33,TBL,C,79,40,41,81,-21,34
Aleksander Barkov,28,FLA,C,73,23,57,80,33,24
Mathew Barzal,26,NYI,C,80,23,57,80,-4,34
Jason Robertson,24,DAL,LW,82,29,51,80,19,22
Zach Hyman,31,EDM,LW,80,54,23,77,36,48
Nick Suzuki,24,MTL,C,82,33,44,77,-14,36
Vincent Trocheck,30,NYR,C,82,25,52,77,16,55
Victor Hedman,33,TBL,D,78,13,63,76,18,76
Clayton Keller,25,ARI,C,78,33,43,76,-20,32
Brandon Hagel,25,TBL,LW,82,26,49,75,1,79
Nazem Kadri,33,CGY,C,82,29,46,75,0,43
Adrian Kempe,27,LAK,LW,77,28,47,75,13,72
Chris Kreider,32,NYR,LW,82,39,36,75,19,26
Gustav Nyquist,34,NSH,RW,81,23,52,75,7,8
Jack Hughes,22,NJD,C,62,27,47,74,-12,12
Brady Tkachuk,24,OTT,LW,81,37,37,74,1,134
Brock Boeser,26,VAN,RW,81,40,33,73,23,14
Kevin Fiala,27,LAK,LW,82,29,44,73,1,62
Adam Fox,25,NYR,D,72,17,56,73,21,36
Lucas Raymond,21,DET,LW,82,31,41,72,-12,30
Mark Scheifele,30,WPG,C,74,25,47,72,19,57
Carter Verhaeghe,28,FLA,C,76,34,38,72,17,36
Mika Zibanejad,30,NYR,C,81,26,46,72,15,30
Noah Dobson,24,NYI,D,79,10,60,70,12,36
Anže Kopitar,36,LAK,C,81,26,44,70,11,22
Tim Stützle,22,OTT,LW,75,18,52,70,-17,28
Matt Boldy,22,MIN,LW,75,29,40,69,5,48
Dylan Larkin,27,DET,C,68,33,36,69,5,39
Jonathan Marchessault,33,VEG,C,82,42,27,69,-2,40
Josh Morrissey,28,WPG,D,81,10,59,69,34,44
Brock Nelson,32,NYI,C,82,34,35,69,-5,28
Ryan O'Reilly,32,NSH,C,82,26,43,69,6,18
Jack Eichel,27,VEG,C,63,31,37,68,4,27
Bo Horvat,28,NYI,C,81,33,35,68,-1,39
Travis Konecny,26,PHI,C,76,33,35,68,4,67
Alex DeBrincat,26,DET,RW,82,27,40,67,1,34
Nico Hischier,25,NJD,C,71,27,40,67,-5,12
Seth Jarvis,21,CAR,C,81,33,34,67,23,14
Jordan Kyrou,25,STL,C,82,31,36,67,-12,22
Evgeni Malkin,37,PIT,C,82,27,40,67,5,70
Brad Marchand,35,BOS,LW,82,29,38,67,2,78
Ryan Nugent-Hopkins,30,EDM,C,80,18,49,67,10,36
Joe Pavelski,39,DAL,C,82,27,40,67,12,20
Dylan Strome,26,WSH,C,82,27,40,67,-13,22
Drake Batherson,25,OTT,C,82,28,38,66,-9,42
Cole Caufield,23,MTL,RW,82,28,37,65,-4,16
Matt Duchene,33,DAL,C,80,25,40,65,15,20
Roope Hintz,27,DAL,LW,80,30,35,65,26,22
Wyatt Johnston,20,DAL,C,82,32,33,65,14,38
Alex Ovechkin,38,WSH,LW,79,31,34,65,-22,20
John Tavares,33,TOR,C,80,29,36,65,2,30
Joel Eriksson Ek,27,MIN,C,77,30,34,64,18,60
Claude Giroux,36,OTT,C,82,21,43,64,-14,26
Pavel Buchnevich,28,STL,LW,80,27,36,63,3,48
Mats Zuccarello,36,MIN,LW,69,12,51,63,-5,30
Mike Matheson,29,MTL,D,82,11,51,62,-24,58
Jared McCann,27,SEA,C,80,29,33,62,-10,31
Connor Bedard,18,CHI,C,68,22,39,61,-44,28
Kyle Connor,27,WPG,LW,65,34,27,61,-6,6
Nikolaj Ehlers,27,WPG,LW,82,25,36,61,27,29
Nick Schmaltz,27,ARI,C,79,22,39,61,-16,10
Jamie Benn,34,DAL,LW,82,21,39,60,8,41
Charlie Coyle,31,BOS,C,82,25,35,60,-2,38
Johnny Gaudreau,30,CBJ,LW,81,12,48,60,-27,22
Mikael Granlund,31,SJS,C,69,12,48,60,-23,32
William Karlsson,31,VEG,C,70,30,30,60,15,22
Frank Vatrano,29,ANA,LW,82,37,23,60,-20,85
Oliver Bjorkstrand,28,SEA,RW,82,20,39,59,-20,12
Rasmus Dahlin,23,BUF,D,81,20,39,59,-3,66
Yegor Sharangovich,25,CGY,C,82,31,28,59,-29,8
Alex Tuch,27,BUF,RW,75,22,37,59,9,54
Pavel Zacha,26,BOS,C,78,21,38,59,12,18
Morgan Rielly,29,TOR,D,72,7,51,58,7,27
Alexis Lafrenière,22,NYR,LW,82,28,29,57,2,40
Matias Maccelli,23,ARI,LW,82,17,40,57,-4,8
Trevor Moore,28,LAK,LW,82,31,26,57,11,28
Zach Werenski,26,CBJ,D,70,11,46,57,0,22
Jonathan Drouin,28,COL,LW,79,19,37,56,12,28
Shayne Gostisbehere,30,DET,D,81,10,46,56,-16,16
Erik Karlsson,33,PIT,D,82,11,45,56,4,44
Bryan Rust,31,PIT,RW,62,28,28,56,10,20
Tage Thompson,26,BUF,C,71,29,27,56,-1,43
Quinton Byfield,21,LAK,C,80,20,35,55,19,42
Blake Coleman,32,CGY,C,78,30,24,54,19,76
Miro Heiskanen,24,DAL,D,71,9,45,54,8,36
Philipp Kurashev,24,CHI,C,75,18,36,54,-44,23
Kyle Palmieri,32,NYI,RW,82,30,24,54,-16,26
Troy Terry,26,ANA,C,76,20,34,54,-10,24
Mason Marchment,28,DAL,F,81,22,31,53,22,54
Martin Nečas,25,CAR,C,77,24,29,53,-9,42
Valeri Nichushkin,28,COL,RW,54,28,25,53,5,22
Mark Stone,31,VEG,RW,56,16,37,53,1,22
Teuvo Teräväinen,29,CAR,F,76,25,28,53,15,10
Owen Tippett,24,PHI,RW,78,28,25,53,-5,12
John Carlson,34,WSH,D,82,10,42,52,-7,40
Jake Guentzel,29,2TM,C,67,30,47,77,25,22
Jake Guentzel,29,PIT,C,50,22,30,52,9,14
Jake Guentzel,29,CAR,C,17,8,17,25,16,8
Jonathan Huberdeau,30,CGY,LW,81,12,40,52,-29,49
Timo Meier,27,NJD,RW,69,28,24,52,-28,45
Tyler Seguin,32,DAL,C,68,25,27,52,10,26
Andrei Svechnikov,23,CAR,RW,59,19,33,52,13,58
MacKenzie Weegar,30,CGY,D,82,20,32,52,2,51
Kris Letang,36,PIT,D,82,10,41,51,13,62
Chandler Stephenson,29,VEG,C,75,16,35,51,-9,25
Drew Doughty,34,LAK,D,82,15,35,50,15,44
Joel Farabee,23,PHI,LW,82,22,28,50,-13,37
John-Jason Peterka,22,BUF,RW,82,28,22,50,10,28
